id,order number,probe,network_status,expense_type,children_under_4,children_under_12,children_under_18,children_under_26,employee_type,distance_dm_home_to_employer_hq,travel_location_known,owns_rents,no_of_medical_visits_previous_year,percent_family_members_with_chronic_condition,percent_family_members_that_play_sports,val1,val2,val3,val4,action
probe_2441_22e48e3c-d9b6-40f7-91c2-1bbd5d85c344,2441,SPECIALIST OFFICE VISIT,TIER 1 NETWORK,CO-PAY IN $,4,2,4,2,Bonus,4695,No,Owns,35,65,80,200,100,10,0,100
probe_11995_4d4cdbf3-f639-4b59-91ed-7126e3a674aa,11995,MAIL ORDER (UP TO A 90-DAY SUPPLY),,CO-PAY IN $,2,2,1,1,Bonus,3643,No,Rents,35,26,75,100,50,30,10,10
probe_9004_8e4e5782-346a-41ea-98f8-0210aa829261,9004,TELE-MEDICINE,IN-NETWORK,CO-PAY IN $,2,2,1,1,Bonus,2404,Yes,Owns,11,14,34,120,100,60,0,60
probe_8061_7fd9a13e-8b21-4e50-812f-1bd56ca1b44f,8061,RETAIL PHARMACY (UP TO A 30-DAY SUPPLY),GENERIC,CO-PAY IN $,3,4,2,3,Bonus,4199,No,Owns,57,67,81,20,15,10,10,10
probe_8438_610b7259-ace6-4e14-961b-b183c02d56a7,8438,OUT-OF-POCKET MAXIMUM,IN-NETWORK,MAXIMUM COST,4,3,4,3,Hourly,3252,Yes,Owns,46,55,84,6450,4000,2000,1500,2000
probe_232_4b6c54bc-a0c1-4461-b065-d84c199c05b1,232,TELE-MEDICINE,IN-NETWORK,CO-PAY IN $,3,4,2,4,Bonus,861,No,Owns,58,56,100,120,100,60,0,100
probe_3097_df42f87f-cf08-4df8-8fba-f1b8e81164fa,3097,OUT-OF-POCKET MAXIMUM,IN-NETWORK,MAXIMUM COST,4,4,4,2,Bonus,3149,No,Owns,37,58,79,6450,4000,2000,1500,2000
probe_11574_3bee975a-68c9-4708-99d9-314123c4edc6,11574,OUTPATIENT SERVICES (SURGERY),IN-NETWORK,PERCENT PLAN PAYS,3,3,3,2,Salaried,153,Yes,Owns,36,61,80,80,90,95,100,100
probe_5624_bca02542-cdea-4caa-8a1e-85e08930d9d0,5624,OUTPATIENT SERVICES (SURGERY),OUT-OF-NETWORK,PERCENT PLAN PAYS,4,3,3,4,Hourly,874,No,Owns,63,68,84,50,70,70,80,70
probe_8362_069d724a-263d-4e33-acdb-19a86d0eaf6b,8362,URGENT CARE CENTER,IN-NETWORK,CO-PAY IN $,2,2,1,1,Bonus,3643,No,Rents,35,26,75,75,50,30,0,30
probe_3404_ffc7ad4b-8d18-4586-9467-3b05e7ba01a1,3404,SPECIALIST OFFICE VISIT,IN-NETWORK,CO-PAY IN $,0,1,0,0,Hourly,1596,Yes,Owns,5,2,1,200,40,25,0,200
probe_5012_5dc9a1ad-0ba3-4e74-9818-4f38eae99745,5012,RETAIL PHARMACY (UP TO A 30-DAY SUPPLY),GENERIC,CO-PAY IN $,2,1,0,2,Salaried,4377,No,Rents,10,19,27,20,15,10,10,15
probe_1876_d33a126c-648a-458b-8930-5e970cd819bf,1876,DEDUCTIBLE,IN-NETWORK,COST IN $,1,2,0,0,Hourly,2246,No,Owns,17,14,34,1600,600,200,0,1600
probe_9297_2a85ad75-7ce9-47e2-843a-69bacba856b0,9297,URGENT CARE CENTER,OUT-OF-NETWORK,PERCENT PLAN PAYS,0,0,0,0,Salaried,1214,No,Owns,1,7,6,50,70,80,100,80
probe_5835_e2743c8f-98f4-4203-88f8-8ff3210b90a8,5835,TELE-MEDICINE,IN-NETWORK,CO-PAY IN $,1,1,0,0,Hourly,4350,No,Rents,2,5,12,120,100,60,0,120
probe_11008_515d1d4a-6f9a-4830-a3d3-fc42a6f40bf8,11008,URGENT CARE CENTER,OUT-OF-NETWORK,PERCENT PLAN PAYS,1,1,2,1,Salaried,1919,No,Owns,25,33,56,50,70,80,100,100
probe_5577_46c8b18d-5a54-423c-96f4-b05ff36092f8,5577,URGENT CARE CENTER,OUT-OF-NETWORK,PERCENT PLAN PAYS,0,0,1,0,Salaried,2175,No,Owns,8,10,8,50,70,80,100,50
probe_7368_b4ae3c48-ac35-4166-8352-8125fde6c9f2,7368,TELE-MEDICINE,IN-NETWORK,CO-PAY IN $,2,1,2,1,Hourly,152,Yes,Owns,34,38,64,120,100,60,0,60
probe_9669_556fa53b-07b6-4cc0-9095-9725cb4e94d8,9669,OUTPATIENT SERVICES (SURGERY),IN-NETWORK,PERCENT PLAN PAYS,0,0,0,0,Hourly,2665,No,Rents,2,3,4,80,90,95,100,95
probe_10368_2daad981-d01b-49f4-837f-b1caecf74196,10368,TELE-MEDICINE,IN-NETWORK,CO-PAY IN $,2,1,2,1,Hourly,152,Yes,Owns,34,38,64,120,100,60,0,0
probe_6231_a5d007a6-0519-40fe-b8db-9cdbc2d9f074,6231,OUT-OF-POCKET MAXIMUM,IN-NETWORK,MAXIMUM COST,1,1,2,1,Salaried,1214,No,Owns,17,40,57,6450,4000,2000,1500,2000
probe_212_afd00908-7357-4828-bc62-96cb9d800884,212,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,0,1,0,1,Bonus,4623,Yes,Owns,2,9,1,1600,600,200,0,1600
probe_10631_01b591e1-8a71-4135-b2dd-7aaa28514bb3,10631,URGENT CARE CENTER,OUT-OF-NETWORK,PERCENT PLAN PAYS,0,1,0,0,Hourly,1596,Yes,Owns,5,2,1,50,70,80,100,80
probe_11589_1dee6e68-5165-4ba7-8ebc-b6e39c248acc,11589,OUTPATIENT SERVICES (SURGERY),OUT-OF-NETWORK,PERCENT PLAN PAYS,3,3,3,4,Bonus,4027,Yes,Rents,43,60,78,50,70,70,80,80
probe_5168_e56d348d-cdf9-4b18-855d-5af17adb6c5f,5168,DEDUCTIBLE,IN-NETWORK,COST IN $,1,1,1,2,Hourly,2879,Yes,Rents,37,31,55,1600,600,200,0,600
probe_8122_6e801375-6dce-4561-bc6d-fa73b78af401,8122,URGENT CARE CENTER,OUT-OF-NETWORK,PERCENT PLAN PAYS,1,3,1,2,Hourly,176,Yes,Rents,23,43,57,50,70,80,100,80
probe_9588_109bec84-2ec6-4f72-ba0d-40c868b7b2ae,9588,PRIMARY CARE PHYSICIAN (PCP) ,IN-NETWORK,CO-PAY IN $,0,0,0,1,Hourly,2954,Yes,Owns,10,7,6,80,40,20,15,20
probe_1261_cbd3b598-0e87-46f4-954d-2a450e9d8834,1261,SPECIALIST OFFICE VISIT,TIER 1 NETWORK,CO-PAY IN $,1,2,1,2,Salaried,4259,Yes,Rents,6,18,32,200,100,10,0,200
probe_2910_bda39621-c935-486f-a7b4-fdfac54ab4bd,2910,TELE-MEDICINE,IN-NETWORK,CO-PAY IN $,3,4,2,3,Hourly,4519,Yes,Owns,48,75,77,120,100,60,0,100
probe_9992_2df03348-0cb8-41ea-a6bd-88ff3abe93f6,9992,URGENT CARE CENTER,IN-NETWORK,CO-PAY IN $,0,1,2,0,Salaried,912,Yes,Rents,16,14,30,75,50,30,0,30
probe_9501_c2f54317-8667-419a-a179-6ff86fa43ba7,9501,TELE-MEDICINE,IN-NETWORK,CO-PAY IN $,3,3,3,4,Hourly,2183,Yes,Owns,37,63,98,120,100,60,0,0
probe_270_cd65bf8e-d23a-43d2-977c-83ec4d59ed31,270,MAIL ORDER (UP TO A 90-DAY SUPPLY),,CO-PAY IN $,0,2,0,1,Hourly,176,Yes,Rents,9,18,32,100,50,30,10,100
probe_5064_8503f1c2-0694-43c5-be4d-ae57c04eeadb,5064,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,2,1,0,0,Bonus,1139,No,Owns,13,16,31,1600,600,200,0,600
probe_6299_2eed25dd-9a82-4f41-9014-75bbf393c5ad,6299,URGENT CARE CENTER,OUT-OF-NETWORK,PERCENT PLAN PAYS,0,0,2,1,Hourly,2563,Yes,Rents,15,13,50,50,70,80,100,70
probe_4731_af2761c9-d727-4ef1-8b7d-f351bcb566c8,4731,URGENT CARE CENTER,OUT-OF-NETWORK,PERCENT PLAN PAYS,2,3,1,3,Salaried,4259,Yes,Rents,17,43,57,50,70,80,100,70
probe_767_e0502c96-e20a-47d6-b911-ac2296a0e379,767,PRIMARY CARE PHYSICIAN (PCP) ,IN-NETWORK,CO-PAY IN $,1,1,2,3,Hourly,1155,No,Rents,16,49,59,80,40,20,15,40
probe_11368_65f7557f-40e0-48bb-90f9-b5956d123814,11368,URGENT CARE CENTER,IN-NETWORK,CO-PAY IN $,0,1,0,0,Salaried,4742,No,Rents,5,16,31,75,50,30,0,30
probe_11672_4ce006fe-ddae-495f-be42-b8cf8a22ae8a,11672,SPECIALIST OFFICE VISIT,OUT-OF-NETWORK,PERCENT PLAN PAYS,1,3,2,3,Salaried,4555,No,Rents,20,24,60,50,60,70,80,80
probe_2976_302a3677-306c-404f-b878-12b0a66d3178,2976,URGENT CARE CENTER,IN-NETWORK,CO-PAY IN $,4,2,4,3,Bonus,1856,Yes,Rents,55,51,79,75,50,30,0,50
probe_1546_66ffdd21-0994-481c-af9e-d750c0f92020,1546,SPECIALIST OFFICE VISIT,TIER 1 NETWORK,CO-PAY IN $,3,2,1,1,Bonus,1139,No,Owns,29,38,56,200,100,10,0,100
probe_6910_33371d49-c4c0-404e-9aa9-f00fbb6a3741,6910,OUTPATIENT SERVICES (SURGERY),OUT-OF-NETWORK,PERCENT PLAN PAYS,2,3,4,4,Hourly,1155,No,Rents,37,75,83,50,70,70,80,70
probe_5122_5519fbfe-a5c1-4855-915c-0c9b21872799,5122,URGENT CARE CENTER,OUT-OF-NETWORK,PERCENT PLAN PAYS,1,3,1,2,Hourly,176,Yes,Rents,23,43,57,50,70,80,100,70
probe_1007_7377b942-8b98-4711-800a-38dde4a162cb,1007,OUTPATIENT SERVICES (SURGERY),IN-NETWORK,PERCENT PLAN PAYS,1,1,2,1,Bonus,1248,Yes,Rents,18,49,60,80,90,95,100,90
probe_1968_a9ad84e3-ec70-4d49-be71-facea19a64d6,1968,DEDUCTIBLE,IN-NETWORK,COST IN $,1,2,2,0,Salaried,1012,Yes,Owns,15,13,50,1600,600,200,0,1600
probe_4753_f15b05b3-d335-4d0b-97cf-bed1c55332ff,4753,URGENT CARE CENTER,IN-NETWORK,CO-PAY IN $,4,3,3,4,Salaried,4138,No,Owns,62,55,76,75,50,30,0,30
probe_5592_c52e8b0f-aacc-403d-934e-4ae3c9c9a096,5592,PRIMARY CARE PHYSICIAN (PCP) ,IN-NETWORK,CO-PAY IN $,0,1,1,1,Salaried,3990,No,Rents,6,1,2,80,40,20,15,80
probe_8309_03ea5ee2-09a4-4f61-9155-a465f050bc53,8309,RETAIL PHARMACY (UP TO A 30-DAY SUPPLY),GENERIC,CO-PAY IN $,3,3,4,2,Salaried,4539,No,Owns,45,75,83,20,15,10,10,10
probe_4502_82f3ac8a-9e10-4131-be95-8ef95bb272f3,4502,OUTPATIENT SERVICES (SURGERY),OUT-OF-NETWORK,PERCENT PLAN PAYS,4,2,4,4,Bonus,144,Yes,Owns,46,72,79,50,70,70,80,70
probe_7700_56b55b7a-9e14-4319-b3b1-71650c4e6ebc,7700,OUTPATIENT SERVICES (SURGERY),OUT-OF-NETWORK,PERCENT PLAN PAYS,3,4,4,4,Bonus,2810,Yes,Owns,58,74,85,50,70,70,80,70
probe_2596_0d5ac639-f1dd-45c2-88a9-1926b76e2662,2596,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,2,0,0,0,Hourly,4826,No,Owns,10,15,48,1600,600,200,0,1600
probe_7483_7f640520-b555-4a48-93f5-1558f2934e2c,7483,SPECIALIST OFFICE VISIT,TIER 1 NETWORK,CO-PAY IN $,3,4,3,2,Salaried,358,No,Rents,50,64,80,200,100,10,0,10
probe_9826_2b0f0aaa-17ca-4082-a3a7-41c5b8f91e62,9826,OUTPATIENT SERVICES (SURGERY),OUT-OF-NETWORK,PERCENT PLAN PAYS,0,0,0,0,Hourly,2384,No,Rents,1,7,6,50,70,70,80,70
probe_8126_8a74c2b7-b042-418e-a627-fcd0b44a3888,8126,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1,2,3,2,Bonus,2810,Yes,Owns,35,49,60,1600,600,200,0,200
probe_3714_0186f560-028c-4415-95fc-94104596807a,3714,PRIMARY CARE PHYSICIAN (PCP) ,IN-NETWORK,CO-PAY IN $,3,4,3,4,Hourly,1596,Yes,Owns,50,55,76,80,40,20,15,20
probe_1289_10362c63-6fb0-4556-9350-8f578b12a047,1289,URGENT CARE CENTER,IN-NETWORK,CO-PAY IN $,4,3,4,4,Salaried,4038,Yes,Rents,51,64,87,75,50,30,0,50
probe_9683_1af98af8-14b7-4346-be7b-7ba4c7fb531a,9683,OUT-OF-POCKET MAXIMUM,TIER 1 NETWORK,MAXIMUM COST,2,4,3,3,Salaried,1625,No,Owns,60,65,80,6450,4000,1500,1000,1000
probe_10459_116fde3d-29ca-48d2-ad58-a3c36e8b21d5,10459,OUTPATIENT SERVICES (SURGERY),IN-NETWORK,PERCENT PLAN PAYS,0,1,1,2,Salaried,3990,No,Rents,13,12,28,80,90,95,100,95
probe_3584_8eee29d9-cb89-42d5-b0b1-0ccae4504246,3584,SPECIALIST OFFICE VISIT,TIER 1 NETWORK,CO-PAY IN $,2,3,1,1,Hourly,2246,No,Owns,38,31,59,200,100,10,0,100
probe_3933_df3f142b-e4ff-4eb3-a198-158141345f09,3933,TELE-MEDICINE,IN-NETWORK,CO-PAY IN $,0,1,0,0,Salaried,4742,No,Rents,5,16,31,120,100,60,0,100
probe_4461_bd574288-6b3f-4eed-ad73-06a24327b4ac,4461,SPECIALIST OFFICE VISIT,TIER 1 NETWORK,CO-PAY IN $,2,2,1,2,Bonus,861,No,Owns,34,26,75,200,100,10,0,100
probe_2131_0d41ae64-880f-4db3-8f4e-0995fc9d4d98,2131,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,0,2,0,1,Bonus,2294,Yes,Owns,10,19,30,1600,600,200,0,1600
probe_8615_7613a608-ab7f-4c48-93ce-de5308581858,8615,URGENT CARE CENTER,OUT-OF-NETWORK,PERCENT PLAN PAYS,4,4,3,4,Salaried,3601,No,Owns,38,60,78,50,70,80,100,80
probe_9436_d25d074a-c3d3-4ded-b0ec-fce3745203c3,9436,SPECIALIST OFFICE VISIT,OUT-OF-NETWORK,PERCENT PLAN PAYS,1,1,0,0,Salaried,3352,Yes,Rents,1,9,1,50,60,70,80,70
probe_9681_318d393e-f6d0-4656-9eef-46e70ada1cf0,9681,SPECIALIST OFFICE VISIT,IN-NETWORK,CO-PAY IN $,1,2,1,2,Salaried,4259,Yes,Rents,6,18,32,200,40,25,0,25
probe_10931_7cf1bc60-a08f-4110-883b-e8d01d09b2a3,10931,PRIMARY CARE PHYSICIAN (PCP) ,IN-NETWORK,CO-PAY IN $,1,1,0,0,Salaried,4671,Yes,Rents,15,12,28,80,40,20,15,20
probe_1207_f78cd733-b40e-4417-bd22-32c5bdbe4c98,1207,MAIL ORDER (UP TO A 90-DAY SUPPLY),,CO-PAY IN $,4,3,4,3,Hourly,1593,No,Owns,36,55,76,100,50,30,10,50
probe_2171_9b707d67-41d5-4325-b7ae-fb7b2d07448f,2171,SPECIALIST OFFICE VISIT,IN-NETWORK,CO-PAY IN $,2,2,1,2,Salaried,3664,No,Owns,7,16,39,200,40,25,0,200
probe_7792_6e33cba5-eae8-4b3a-b38e-ea81b96205c9,7792,PRIMARY CARE PHYSICIAN (PCP) ,IN-NETWORK,CO-PAY IN $,1,1,1,1,Salaried,1210,No,Rents,17,12,39,80,40,20,15,40
probe_5767_dc68d15e-e9de-4604-b3ac-72a1a00dbe32,5767,TELE-MEDICINE,IN-NETWORK,CO-PAY IN $,1,0,1,1,Bonus,144,Yes,Owns,4,9,4,120,100,60,0,120
probe_10937_f3967cb7-e62d-4fc2-a0dd-7d877107e159,10937,OUTPATIENT SERVICES (SURGERY),IN-NETWORK,PERCENT PLAN PAYS,3,3,3,4,Bonus,4027,Yes,Rents,43,60,78,80,90,95,100,100
probe_3799_7e9da898-6fc5-44e7-9010-dca5be95ec6c,3799,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1,2,0,0,Hourly,4350,No,Rents,7,16,37,1600,600,200,0,600
probe_6718_81c57c1e-88d8-45b0-beda-1291c79cc00b,6718,TELE-MEDICINE,IN-NETWORK,CO-PAY IN $,4,4,2,2,Bonus,1139,No,Owns,52,65,80,120,100,60,0,60
probe_5338_a1f42acc-1416-48d3-8264-ab5296c4d3e4,5338,OUTPATIENT SERVICES (SURGERY),OUT-OF-NETWORK,PERCENT PLAN PAYS,2,4,3,3,Salaried,1625,No,Owns,60,65,80,50,70,70,80,70
probe_4597_300a9c16-f273-434d-b5b4-7fbd353b885c,4597,TELE-MEDICINE,IN-NETWORK,CO-PAY IN $,0,0,1,1,Bonus,1248,Yes,Rents,7,20,35,120,100,60,0,100
probe_634_bba35457-967f-49f7-9f32-ee518a252cb3,634,PRIMARY CARE PHYSICIAN (PCP) ,IN-NETWORK,CO-PAY IN $,2,2,1,2,Bonus,861,No,Owns,34,26,75,80,40,20,15,40
probe_1214_9650d2e1-b492-431e-a6e9-badb807c513c,1214,MAIL ORDER (UP TO A 90-DAY SUPPLY),,CO-PAY IN $,4,2,4,2,Bonus,4695,No,Owns,35,65,80,100,50,30,10,50
probe_7025_e4745f62-bbd2-4e18-8f44-d703d847be2c,7025,OUT-OF-POCKET MAXIMUM,IN-NETWORK,MAXIMUM COST,0,1,0,1,Salaried,4259,Yes,Rents,1,8,6,6450,4000,2000,1500,4000
probe_4561_d3d0a029-0c75-4e56-ab17-63ea27925d5d,4561,DEDUCTIBLE,IN-NETWORK,COST IN $,0,1,0,0,Bonus,2294,Yes,Owns,4,9,4,1600,600,200,0,1600
probe_7085_d8951500-42f5-48ce-bee9-c64a385e0d77,7085,SPECIALIST OFFICE VISIT,IN-NETWORK,CO-PAY IN $,3,3,3,2,Hourly,4605,Yes,Rents,46,65,88,200,40,25,0,25
probe_3735_ce035d22-ecbb-4291-8ce5-be202fd35c7e,3735,OUTPATIENT SERVICES (SURGERY),IN-NETWORK,PERCENT PLAN PAYS,4,3,3,4,Salaried,4138,No,Owns,62,55,76,80,90,95,100,95
probe_5414_fe37f13c-7910-49bd-8058-0beb26fdb344,5414,SPECIALIST OFFICE VISIT,OUT-OF-NETWORK,PERCENT PLAN PAYS,1,2,3,1,Salaried,4592,Yes,Rents,37,41,60,50,60,70,80,60
probe_251_af207a1c-c9ff-4307-b943-faada1e6cc03,251,SPECIALIST OFFICE VISIT,TIER 1 NETWORK,CO-PAY IN $,3,3,3,3,Hourly,2879,Yes,Rents,61,60,80,200,100,10,0,100
probe_7004_f88c80ba-68d5-4419-b644-dee8b31433ca,7004,OUTPATIENT SERVICES (SURGERY),IN-NETWORK,PERCENT PLAN PAYS,2,1,1,1,Bonus,489,No,Rents,23,20,55,80,90,95,100,95
probe_11796_ba41dd91-3585-4aec-82be-efa9cb0f4c2c,11796,OUTPATIENT SERVICES (SURGERY),IN-NETWORK,PERCENT PLAN PAYS,3,3,2,2,Bonus,2404,Yes,Owns,27,31,59,80,90,95,100,100
probe_231_0fa08f2c-68d1-4afb-b29a-a70d3406563a,231,OUT-OF-POCKET MAXIMUM,IN-NETWORK,MAXIMUM COST,1,1,2,1,Salaried,1214,No,Owns,17,40,57,6450,4000,2000,1500,4000
probe_9375_e64d8907-75a9-49fc-b284-ab1157480d21,9375,URGENT CARE CENTER,IN-NETWORK,CO-PAY IN $,0,0,1,0,Salaried,2175,No,Owns,8,10,8,75,50,30,0,30
probe_11548_9c195d0f-d865-4587-aa7a-98b397895384,11548,MAIL ORDER (UP TO A 90-DAY SUPPLY),,CO-PAY IN $,1,1,1,1,Bonus,1006,No,Owns,27,35,73,100,50,30,10,10
probe_1265_b628671c-60e0-47d8-9664-8367217880bb,1265,URGENT CARE CENTER,OUT-OF-NETWORK,PERCENT PLAN PAYS,3,3,2,2,Bonus,1440,Yes,Owns,46,75,83,50,70,80,100,70
probe_6032_110fecd4-3729-4f51-9efd-c8c9ccf7a8d3,6032,URGENT CARE CENTER,OUT-OF-NETWORK,PERCENT PLAN PAYS,0,1,1,0,Salaried,1012,Yes,Owns,8,2,25,50,70,80,100,70
probe_6384_44106c49-a45d-4ccc-8170-6667e447d0cb,6384,RETAIL PHARMACY (UP TO A 30-DAY SUPPLY),GENERIC,CO-PAY IN $,3,2,4,4,Salaried,1235,Yes,Rents,55,60,83,20,15,10,10,10
probe_831_a2ea918d-2758-4f1b-a0f1-e80fffd23041,831,RETAIL PHARMACY (UP TO A 30-DAY SUPPLY),GENERIC,CO-PAY IN $,0,1,0,0,Hourly,3337,No,Rents,1,9,4,20,15,10,10,20
probe_2266_e574bf61-29e5-45a9-8354-c87fb0303f32,2266,SPECIALIST OFFICE VISIT,IN-NETWORK,CO-PAY IN $,2,0,2,0,Salaried,1366,No,Owns,14,15,31,200,40,25,0,200
probe_6856_ef683990-500e-447b-9f47-30202b4c5202,6856,SPECIALIST OFFICE VISIT,OUT-OF-NETWORK,PERCENT PLAN PAYS,2,2,3,3,Bonus,2363,Yes,Rents,52,64,80,50,60,70,80,70
probe_5940_009ab77e-4cba-4a3d-ab23-e5a32bc7aede,5940,URGENT CARE CENTER,OUT-OF-NETWORK,PERCENT PLAN PAYS,4,3,4,3,Hourly,3252,Yes,Owns,46,55,84,50,70,80,100,80
probe_5295_ae1ed3b1-a537-4a98-a691-9e2690581f0c,5295,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,0,0,1,0,Hourly,2547,Yes,Owns,7,5,12,1600,600,200,0,1600
probe_178_93f1b2b2-44a8-4985-9dd2-fd8214dbed25,178,RETAIL PHARMACY (UP TO A 30-DAY SUPPLY),GENERIC,CO-PAY IN $,1,1,1,1,Bonus,2363,Yes,Rents,29,36,56,20,15,10,10,15
probe_8415_32b984f6-70e7-408b-bcd0-7acebf427270,8415,TELE-MEDICINE,IN-NETWORK,CO-PAY IN $,3,4,3,4,Hourly,1596,Yes,Owns,50,55,76,120,100,60,0,60
probe_8664_4cd5c41c-805a-4dfb-8d1a-2f80e06d4399,8664,URGENT CARE CENTER,IN-NETWORK,CO-PAY IN $,4,4,3,2,Salaried,4671,Yes,Rents,57,53,77,75,50,30,0,30
probe_10288_cca5ac7f-6551-4778-bfcd-a08dcfa1f286,10288,SPECIALIST OFFICE VISIT,IN-NETWORK,CO-PAY IN $,0,0,0,0,Salaried,1625,No,Owns,8,6,5,200,40,25,0,25
probe_5716_82ee3b4a-2469-4e4d-9d42-504d07e5dad5,5716,URGENT CARE CENTER,OUT-OF-NETWORK,PERCENT PLAN PAYS,4,3,4,4,Bonus,2742,No,Owns,64,75,77,50,70,80,100,80
probe_4484_078272e8-6295-4913-9dc4-d2c2bfc0f194,4484,SPECIALIST OFFICE VISIT,TIER 1 NETWORK,CO-PAY IN $,3,3,4,3,Hourly,2547,Yes,Owns,55,64,87,200,100,10,0,10
probe_7901_29c505e2-a4fa-4be3-9a79-69cd40d58067,7901,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,3,4,2,3,Bonus,4199,No,Owns,57,67,81,1600,600,200,0,200
probe_3155_3622fdb4-8962-4f5b-af14-a0c191ae9d0e,3155,URGENT CARE CENTER,IN-NETWORK,CO-PAY IN $,3,2,2,3,Bonus,2909,Yes,Rents,45,60,80,75,50,30,0,30
probe_7401_6ec3dffe-e4f9-401d-874e-9ed5d951a2b5,7401,DEDUCTIBLE,IN-NETWORK,COST IN $,0,1,1,2,Salaried,3990,No,Rents,13,12,28,1600,600,200,0,600
probe_6430_f7b15364-6d1c-4e2f-a3e5-6b1cacdbf494,6430,URGENT CARE CENTER,IN-NETWORK,CO-PAY IN $,0,0,0,0,Bonus,2909,Yes,Rents,9,14,30,75,50,30,0,50
